"Идентификатор пользователя","Название приюта","Дата/время платежа","Наименование услуги","Сумма платежа"
27542,Кот и Пёс,2019-09-01 01:02:25,ПёсоДень,155
26869,Матроскин,2019-09-01 01:03:41,Стерилизация,350
26869,Люськин дом,2019-09-01 01:03:41,"1 КотоДень",87
26869,Убежище,2019-09-01 01:03:41,"1 КотоДень",114
4696,"Кошачий приют ""ДОМИК""",2019-09-01 03:18:44,"1 КотоНеделя",855
4696,Котофей,2019-09-01 03:18:44,"1 КотоНеделя",723
4696,Добрые сердца,2019-09-01 03:18:44,КотоНеделя,750
4696,Добрые сердца,2019-09-01 03:18:44,КотоНеделя,750
4696,"Кошачий приют ""ДОМИК""",2019-09-01 03:33:29,КотоДень,67
27728,Шереметьевский приют,2019-09-01 09:40:34,Порция вкуснейшего корма,106
27728,Шереметьевский приют,2019-09-01 09:40:34,ПёсоДень,255
27670,"Самарский приют для животных ""НадеждА""",2019-09-01 10:37:03,Избавить питомца от блох,20
27670,"Приют для кошек ""ЯрКот""",2019-09-01 10:37:03,"1 КотоДень",83
2223,"Самарский приют для животных ""НадеждА""",2019-09-01 11:14:16,Избавить питомца от глистов,150
2223,"Самарский приют для животных ""НадеждА""",2019-09-01 11:14:16,"1 КотоДень",98
2223,Матроскин,2019-09-01 11:14:16,КотоДень,98
2223,ФлагманВет,2019-09-01 11:14:16,"1 КотоДень",88
2223,Люськин дом,2019-09-01 11:14:16,Когтеточка,100
2223,"Приют для кошек ""ЯрКот""",2019-09-01 11:14:16,"1 КотоДень",83
2223,"Приют для кошек ""ЯрКот""",2019-09-01 11:14:16,"1 КотоДень",83
2223,Котофей,2019-09-01 11:14:16,"1 КотоДень",87
2223,Добрые сердца,2019-09-01 11:14:16,КотоДень,77
2223,Добрые сердца,2019-09-01 11:14:16,КотоДень,77
6102,Убежище,2019-09-01 11:39:17,"1 КотоДень",114
27542,Мокрый нос,2019-09-01 12:40:04,"1 ПёсоДень",145
24345,Шереметьевский приют,2019-09-01 15:03:32,Порция вкуснейшего корма,106
6602,"Самарский приют для животных ""НадеждА""",2019-09-01 15:06:37,Избавить питомца от глистов,50
6602,"Самарский приют для животных ""НадеждА""",2019-09-01 15:06:37,Корм с курицей и рисом ,39
6602,"Самарский приют для животных ""НадеждА""",2019-09-01 15:06:37,Избавить питомца от блох,50
6602,Матроскин,2019-09-01 15:06:37,Порция вкуснейшего корма,39
6602,Матроскин,2019-09-01 15:06:37,Порция вкуснейшего корма,39
6602,"Кошачий приют ""ДОМИК""",2019-09-01 15:06:37,КотоДень,67
6602,"Кошачий приют ""ДОМИК""",2019-09-01 15:06:37,КотоДень,67
6602,Кот и Пёс,2019-09-01 15:06:37,КотоДень,85
6602,Добрые сердца,2019-09-01 15:06:37,Порция вкуснейшего корма,36
23484,Матроскин,2019-09-01 15:45:19,КотоДень,98
27028,Убежище,2019-09-01 15:47:47,"1 КотоДень",114
23484,Матроскин,2019-09-01 15:52:02,Порция вкуснейшего корма,39
23484,Мокрый нос,2019-09-01 15:52:02,"1 ПёсоДень",145
23484,"Кошачий приют ""ДОМИК""",2019-09-01 15:52:02,КотоДень,67
23484,Кот и Пёс,2019-09-01 15:52:02,ПёсоДень,155
27762,Шереметьевский приют,2019-09-01 19:30:29,Порция вкуснейшего корма,106
27762,Шереметьевский приют,2019-09-01 19:30:29,Профилактическое обследование,600
27762,Убежище,2019-09-01 19:30:29,"1 КотоДень",114
6370,Люськин дом,2019-09-01 20:21:47,Котодень,106
6370,Люськин дом,2019-09-01 20:21:47,Котодень,106
6370,Люськин дом,2019-09-01 20:21:47,Когтеточка,133
6370,Кот и Пёс,2019-09-01 20:21:47,"1 ПёсоДень",155
27573,Лёхин дом,2019-09-01 22:09:50,Порция корма ,48
27573,Котофей,2019-09-01 22:09:50,"1 КотоДень",87
27573,Котофей,2019-09-01 22:09:50,"1 КотоДень",87
