id,Кличка,Ссылка на профиль,Приют,Город,Порода,Вид,Дата рождения,Пол,В избранном,Уже дома,Забрать домой,Погулять
1,Мадлен,https://teddyfood.com/ru/animals/madeleine/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-09-23,девочка,0,1,0,0
2,Фифа,https://teddyfood.com/ru/animals/fifa/,Ковчег,Смоленск,Мейн-кун,Кошки,2000-03-03,девочка,0,1,0,0
3,Джинни,https://teddyfood.com/ru/animals/ginny/,"Стационар для Животных ""Сен Бернар""",Самара,Без породы,Кошки,2015-07-01,девочка,0,1,0,0
4,Партос,https://teddyfood.com/ru/animals/porthos/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2013-11-01,мальчик,0,1,0,0
5,Самуэль,https://teddyfood.com/ru/animals/samuel/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-04-01,мальчик,1,1,0,0
7,Тигра,https://teddyfood.com/ru/animals/tiger/,Матроскин,Пермь,Без породы,Кошки,2015-12-01,девочка,0,1,0,0
8,Томас,https://teddyfood.com/ru/animals/thomas/,Матроскин,Пермь,Без породы,Кошки,2014-04-01,мальчик,0,1,0,0
9,Маша,https://teddyfood.com/ru/animals/masha/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2013-11-08,девочка,0,1,0,0
10,Луна,https://teddyfood.com/ru/animals/luna/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-04-01,девочка,0,1,0,0
11,Эвелина,https://teddyfood.com/ru/animals/evelina/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-05-08,девочка,0,1,0,0
12,Айва,https://teddyfood.com/ru/animals/ayva/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-10-01,девочка,0,1,0,0
13,Алекса,https://teddyfood.com/ru/animals/alexa/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-01-09,девочка,0,1,0,0
14,Кузя,https://teddyfood.com/ru/animals/kuzma/,Матроскин,Пермь,Без породы,Кошки,2006-05-10,мальчик,0,1,0,0
15,Ванесса,https://teddyfood.com/ru/animals/vanessa/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-12-02,девочка,0,1,0,0
16,Тимоша,https://teddyfood.com/ru/animals/timosha/,Матроскин,Пермь,Без породы,Кошки,2015-06-01,мальчик,0,1,0,0
17,Бабуля,https://teddyfood.com/ru/animals/granny/,"Стационар для Животных ""Сен Бернар""",Самара,Немецкая овчарка,Собаки,2009-05-08,девочка,2,0,0,0
18,Бритни,https://teddyfood.com/ru/animals/britney/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-12-02,девочка,0,1,0,0
19,Саджи,https://teddyfood.com/ru/animals/saji/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-05-08,девочка,0,1,0,0
20,Патрик,https://teddyfood.com/ru/animals/patrick/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2013-06-12,мальчик,0,1,0,0
21,Софа,https://teddyfood.com/ru/animals/sofa/,Матроскин,Пермь,Без породы,Кошки,2003-06-12,девочка,0,0,0,0
22,Белочка,https://teddyfood.com/ru/animals/squirrel/,Матроскин,Пермь,Без породы,Кошки,2015-07-10,девочка,0,1,0,0
23,Сансара,https://teddyfood.com/ru/animals/sansara/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-08-01,девочка,16,1,0,0
24,Паприка,https://teddyfood.com/ru/animals/paprika/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-09-30,девочка,0,1,0,0
25,Матильда,https://teddyfood.com/ru/animals/matilda/,Матроскин,Пермь,Без породы,Кошки,2015-08-06,девочка,0,1,0,0
26,Джемма,https://teddyfood.com/ru/animals/gemma/,"Самарский приют для животных ""НадеждА""",Самара,Британец,Кошки,2015-01-15,девочка,0,1,0,0
27,Марианна,https://teddyfood.com/ru/animals/marianne/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-07-08,девочка,0,1,0,1
28,Эсмеральда,https://teddyfood.com/ru/animals/esmeralda/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-05-06,девочка,0,1,0,0
29,Динара,https://teddyfood.com/ru/animals/dinara/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-02-12,девочка,0,1,0,0
30,Лора,https://teddyfood.com/ru/animals/lora/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2012-01-19,девочка,0,1,0,0
31,Бэтмен,https://teddyfood.com/ru/animals/batman/,Матроскин,Пермь,Без породы,Кошки,2014-09-01,мальчик,0,1,0,0
32,Марсия,https://teddyfood.com/ru/animals/marcia/,Матроскин,Пермь,Без породы,Кошки,2014-07-09,девочка,0,1,0,0
33,Ромашка,https://teddyfood.com/ru/animals/chamomile/,Матроскин,Пермь,Без породы,Кошки,2015-08-20,девочка,0,1,0,0
34,Шуша,https://teddyfood.com/ru/animals/shusha/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-01-05,девочка,0,1,0,0
35,Марсель,https://teddyfood.com/ru/animals/marsel/,"Самарский приют для животных ""НадеждА""",Самара,Британец,Кошки,2010-06-01,мальчик,0,1,0,0
36,Лилу,https://teddyfood.com/ru/animals/lilu/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2008-08-13,девочка,0,1,0,0
37,Бакс,https://teddyfood.com/ru/animals/bax/,Матроскин,Пермь,Без породы,Кошки,2013-07-18,мальчик,0,1,0,0
38,Морис,https://teddyfood.com/ru/animals/morisa/,Матроскин,Пермь,Без породы,Кошки,2013-10-17,мальчик,0,1,0,0
39,Тимофей,https://teddyfood.com/ru/animals/timophey/,Матроскин,Пермь,Без породы,Кошки,2014-08-29,мальчик,0,1,0,0
40,Бисквит,https://teddyfood.com/ru/animals/Biscuit/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-04-14,мальчик,0,1,0,0
41,Ватрушка,https://teddyfood.com/ru/animals/vatrushka/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-09-03,девочка,0,1,0,0
42,Мелисса,https://teddyfood.com/ru/animals/melissa/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-03-02,девочка,0,1,0,0
43,Мокко,https://teddyfood.com/ru/animals/mokko/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-09-09,девочка,0,1,0,0
44,Цветка,"https://teddyfood.com/ru/animals/Tsvetka,/","Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-03-11,девочка,0,1,0,0
45,Оливия,https://teddyfood.com/ru/animals/olivia/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-08-29,девочка,0,1,0,2
46,Изабелла,https://teddyfood.com/ru/animals/isabel/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-08-29,девочка,16,1,0,1
47,Беата,https://teddyfood.com/ru/animals/beata/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-09-25,девочка,19,1,0,3
48,Клаус,https://teddyfood.com/ru/animals/klaus/,Матроскин,Пермь,Без породы,Кошки,2014-08-14,мальчик,12,1,0,0
49,Монро,https://teddyfood.com/ru/animals/monro/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2011-08-24,девочка,0,1,0,1
50,Миранда,https://teddyfood.com/ru/animals/miranda/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-03-18,девочка,0,1,0,0
51,Аляска,https://teddyfood.com/ru/animals/alaska/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2013-09-12,девочка,1,1,0,0
52,Джонни,https://teddyfood.com/ru/animals/joni/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-01-22,мальчик,0,1,0,0
53,Айседора,https://teddyfood.com/ru/animals/isadora/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-03-12,девочка,2,1,0,0
54,Богдана,https://teddyfood.com/ru/animals/bogdana/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-06-21,девочка,18,1,1,2
55,Бриенна,https://teddyfood.com/ru/animals/brienne/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2013-08-29,девочка,0,1,0,0
56,Ваенга,https://teddyfood.com/ru/animals/vaenga/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-09-02,девочка,1,1,0,0
57,Нонна,https://teddyfood.com/ru/animals/nonna/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-09-09,девочка,0,1,0,0
58,Лайма,https://teddyfood.com/ru/animals/lyme/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-03-29,девочка,0,1,0,0
59,Брюс,https://teddyfood.com/ru/animals/bruce/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2013-04-17,мальчик,0,1,0,0
60,Муля,https://teddyfood.com/ru/animals/mulia/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2011-09-08,девочка,6,1,0,0
61,Бонд,https://teddyfood.com/ru/animals/bond/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-03-12,мальчик,6,1,0,0
62,Дейзи,https://teddyfood.com/ru/animals/daisy/,"Самарский приют для животных ""НадеждА""",Самара,Метис Британки,Кошки,2014-09-17,девочка,22,1,0,0
63,Клепа,https://teddyfood.com/ru/animals/klepa/,Матроскин,Пермь,Без породы,Кошки,2015-09-10,девочка,0,1,0,0
64,Мирошик,https://teddyfood.com/ru/animals/miroshik/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2011-09-21,мальчик,0,1,0,0
65,Пират,https://teddyfood.com/ru/animals/pirat/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-05-05,мальчик,0,1,0,0
66,Ассоль,https://teddyfood.com/ru/animals/assol/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-09-30,девочка,0,1,0,0
67,Бонита,https://teddyfood.com/ru/animals/bonita/,"Самарский приют для животных ""НадеждА""",Самара,Ангорская кошка,Кошки,2008-09-18,девочка,0,1,0,0
68,Ван Гог,https://teddyfood.com/ru/animals/vangogh/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2012-05-09,мальчик,1,1,0,0
69,Нукси,https://teddyfood.com/ru/animals/nuksy/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-10-04,девочка,1,1,0,0
70,Милка,https://teddyfood.com/ru/animals/milka/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-06-10,девочка,2,1,0,0
71,Барсик,https://teddyfood.com/ru/animals/barsik/,Матроскин,Пермь,Без породы,Кошки,2010-11-10,мальчик,0,1,0,0
72,Анна,https://teddyfood.com/ru/animals/anna/,Матроскин,Пермь,Без породы,Кошки,2016-03-13,девочка,0,1,0,0
73,Кроша,https://teddyfood.com/ru/animals/krosha/,Матроскин,Пермь,Без породы,Кошки,2007-10-12,девочка,0,1,0,0
74,Сильвия,https://teddyfood.com/ru/animals/silviya/,Матроскин,Пермь,Без породы,Кошки,2015-09-05,девочка,0,1,0,0
75,Нимфа,https://teddyfood.com/ru/animals/nimfa/,Матроскин,Пермь,Без породы,Кошки,2016-06-06,девочка,0,1,0,0
76,Тропиканка,https://teddyfood.com/ru/animals/tropikanka/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-05-12,девочка,2,1,0,0
77,Чудик,https://teddyfood.com/ru/animals/chudik/,Мокрый нос,Киров,Без породы,Собаки,2015-11-10,девочка,35,1,1,4
78,Джесси,https://teddyfood.com/ru/animals/jessy/,Мокрый нос,Киров,Без породы,Собаки,2013-10-10,девочка,12,1,0,2
79,Анфиса,https://teddyfood.com/ru/animals/anfisa/,Матроскин,Пермь,Без породы,Кошки,2015-04-15,девочка,0,1,0,0
80,Миссис Рыж,https://teddyfood.com/ru/animals/rij/,Матроскин,Пермь,Без породы,Кошки,2013-10-23,девочка,0,1,0,0
